idea,title_a,title_b,title_b_preferred
Key lessons from interviews with top upwork data science freelancers,Top Tips from Pro Upwork Data Scientists Revealed,Insider Secrets: Upwork Data Science Success Stories,1
Customer segmentation with text embeddings,Unlock Customer Insights with Text Embeddings,Transform Customer Data with Text Embeddings,1
LLMs,How LLMs Will Transform Your Career in 2025,Unlock LLM Potential: 5 Must-Know Techniques,0
Neural network dropout,Dropout Technique: Boosting Neural Network Performance,How Dropout Regularizes Neural Networks,1
AI engineer vs ML engineer,AI vs ML Engineer: Roles & Responsibilities,AI Engineer vs ML Engineer: Career Paths Compared,1
model distillation,Simplify Your Model with Distillation Techniques,The Power of Knowledge Distillation Explained,0
direct policy optimization (DPO),Maximize Efficiency with Direct Policy Optimization,DPO Simplified: The Ultimate Guide,1
Interviewing 10 upwork millionaires,How These Upwork Millionaires Made $1M+,Inside the Minds of Upwork Millionaires,1
Fine-tuning LLMs with QLoRA,QLoRA: The New Kid on the Fine-Tuning Block,Unlock LLM Potential with QLoRA: A Beginner's Guide,1
LLM Fine-tuning FAQ,What is LLM Fine-tuning? 5 Common Questions Answered,The Most Asked Questions About LLM Fine-tuning Explained,0
Generative adversarial networks (GANs),5 Key Concepts in GANs Explained,GANs 101: From Basics to Breakthroughs,0
Why I quit my 6F data science job,Why I Left My Data Science Job & What I Found Next,My Shocking 1-Year Post-Job Quit Success Story,0
Sensitivity analysis overview. What is sensitivity analysis and when you need it in your data science project.,What is Sensitivity Analysis? | Data Science Essentials,The Power of Sensitivity Analysis in Data Science,0
"AI risk, safety, and alignment",5 Critical AI Risks You Must Know,Aligning AI: 3 Key Steps to Success,0
Fine-tuning LLMs with QLoRA,Unlock LLM Potential with QLoRA: A Beginner's Guide,QLoRA for LLMs: What You Need to Know,1
Sensitivity analysis overview. What is sensitivity analysis and when you need it in your data science project.,Why You Need Sensitivity Analysis Now,The Power of Sensitivity Analysis in Data Science,1
5 AI project discovery questions,5 AI Projects to Boost Your Portfolio,Discover AI Projects That Will Impress Employers,0
"P-Values. definition, examples, and misconceptions","Understanding P-Values: Definitions, Examples, and Misconceptions","P-Values 101: Definitions, Examples, and Common Misunderstandings",0
How to handle missing data,How to Handle Missing Data Like a Pro,The Ultimate Guide to Dealing with Missing Data,1
Evaluating binary classification models,Binary Classification Metrics: A Deep Dive,Mastering Binary Classification Model Evaluation,0
Python tutorial for AI beginners,Learn AI with Python in 30 Minutes,Python AI Tutorial: Fast Track to Success,0
Fine-tuning LLMs to think (advanced reasoning),Mastering LLM Fine-Tuning for Advanced Reasoning,Advanced LLM Fine-Tuning: Techniques Unveiled,0
Mechanistic interpretability,Unlocking Model Transparency with Mechanistic Interpretability,Master Mechanistic Interpretability: The Essential Guide,1
multimodal RAG,Unlock Multimodal RAG: The Future of AI!,How Multimodal RAG Will Revolutionize Information Retrieval,1
model quantization,The Ultimate Guide to Model Quantization in 2024,Boost Your AI Model Efficiency with Quantization Techniques,0
What is an AI project manager?,5 Key Roles of an AI Project Manager,How AI Project Managers Drive Success,0
LLM evals,How LLMs Stack Up: My Rigorous Evaluation Process,My Secret Method for LLM Evaluation Success,1
How to handle missing data,How to Handle Missing Data Like a Pro,Missing Data? 3 Easy Techniques You Need to Know,1
Sensitivity analysis overview. What is sensitivity analysis and when you need it in your data science project.,How Sensitivity Analysis Impacts Your Data Projects,The Power of Sensitivity Analysis in Data Science,1
Habituation in causal inference,How Habituation Impacts Causal Analysis,Unveiling Habituation: A Key to Causal Inference,0
What is entropy?,The Simple Truth About Entropy,Entropy Decoded: A Beginner's Guide,1
Statistics for data scientists,The 5 Stats Every Data Scientist Needs to Know,How Statistics Predicts the Future | Data Science,0
causal effects with regression,Understanding Causal Effects with Regression,Unveiling Causal Effects with Regression Techniques,0
Gradient descent,Master Gradient Descent: A Beginner's Guide,Speed Up Machine Learning with Gradient Descent,0
AI for business,AI for Business: Real-World Examples Explained,AI in Business: 3 Common Mistakes to Avoid,0
AI agents,AI Agents 101: How to Boost Your Workflow,AI Agents vs Humans: Who Wins in Productivity?,0
"Deploying ML solutions with FastAPI, Docker, and AWS","Get ML Deployed with FastAPI, Docker, and AWS in 30 Min","Deploy ML with Ease: FastAPI, Docker, AWS - Full Walkthrough",0
GitHub for data science,Streamline Your Data Science Workflow with GitHub,GitHub Secrets Every Data Scientist Should Know,0
Spectral clustering,Spectral Clustering Simplified: A Step-by-Step Guide,Unleash the Power of Spectral Clustering in Just 10 Minutes,0
Expectation values,How Expectation Values Shape Our Decisions,Master Expectation Values: A Step-by-Step Guide,0
Building data pipelines with Python and GitHub actions,Automate Data Pipelines Using Python & GitHub Actions,How to Set Up Data Pipelines with Python & GitHub Actions,0
persistent homology,Introduction to Persistent Homology: Topological Data Analysis,Unleash the Power of Persistent Homology in Data Science,0
GitHub for data science,GitHub for Data Science: Supercharge Your Projects!,GitHub Secrets Every Data Scientist Should Know,0
Fine-tuning LLMs to think (advanced reasoning),5 Advanced Techniques for LLM Fine-Tuning,Mastering LLM Fine-Tuning for Advanced Reasoning,0
Surrogate models,How Surrogate Models Can Boost Your Machine Learning Workflow,Surrogate Models vs. Full Models: When to Use Each,0
Hyperparameter optimization,How to Boost Model Performance with Hyperparameter Tuning,Master Hyperparameter Optimization in Just 10 Minutes,0
Self-organizing map,5 Key Concepts of Self-Organizing Maps Explained,Build Your Own Self-Organizing Map in 15 Minutes,0
5 biases every data scientist should know (and how to avoid them),Avoid These 5 Deadly Biases in Data Science (Video),How to Identify and Overcome 5 Key Biases in Data Science,0
Building a resume optimizer with AI,Build a Resume Optimizer with AI: Code Walkthrough,How I Built a Resume Optimizer Using AI (Code Tutorial),0
fine-tuning LLMs,The Ultimate Guide to LLM Fine-Tuning in 2024,Boost Your LLM Skills with These Fine-Tuning Techniques,0
What is an AI project manager?,Meet the AI Project Manager: Job Description,The Ultimate Guide to AI Project Management,1
Fine-tuning multimodal embedding models,How to Improve Multimodal Models in Just 30 Minutes,Mastering Multimodal Embeddings: Tips and Tricks,1
model pruning,How to Prune Models Like a Pro in 2024,Model Pruning 101: A Step-by-Step Guide,1
"Fractals, self similarity, and crinkliness",The Beauty of Fractals: Exploring Infinite Crinkliness,Self-Similarity in Nature: From Trees to Coastlines,1
Fine-tuning LLMs to think (advanced reasoning),5 Advanced Techniques for LLM Fine-Tuning,How to Make LLMs Think Better: Tips Revealed,0
Regularization (ML),How Regularization Can Save Your Machine Learning Project,Regularization 101: Simplified for ML Beginners,0
"ROC, AUC. Generalizing to decision trees and other classifiers","ROC, AUC Simplified: Decision Trees and Beyond","Beyond Linear Models: ROC, AUC & Decision Trees",0
5 physics principles that made me a better data scientist,How Physics Made Me a Better Data Scientist,Physics Meets Data Science: 5 Key Concepts,0
"Probability, likelihood, odds, chance, odds ratio","Mastering Probability: Likelihood, Odds, and Chance Explained","Odds, Probability, and Likelihood: A Beginner’s Guide",1
RAG,7 Key Benefits of RAG Systems Explained,Why RAG is the Future of Knowledge Bases,0
Why I quit my 6F data science job,6 Months and $100K Later: My AI Journey Post-Job,Quitting Data Science for Something Better: My Story,0
Full-stack data science skillset,Master Full-Stack Data Science in 7 Steps,Full-Stack Data Science: Your Ultimate Guide,1
Regularization (ML),The Regularization Secret ML Pros Won't Tell You,Boost Your ML Model with These Regularization Tips,1
Synthetic data generation with LLMs,Generate Synthetic Data Like a Pro with LLMs,Master Synthetic Data Generation with LLMs,1
Surrogate models,Surrogate Models vs. Full Models: When to Use Each,The Surrogate Model Trick That Doubles Your Prediction Speed,1
Generative adversarial networks (GANs),5 Key Concepts in GANs Explained,The Power of GANs: Real-World Applications Explained,1
Intro independent component analysis,Breakdown: Independent Component Analysis for Beginners,Independent Component Analysis: What It Is and Why It Matters,1
"Probability, likelihood, odds, chance, odds ratio","5 Key Concepts: Probability, Likelihood, Odds, and More!","Mastering Probability: Likelihood, Odds, and Chance Explained",1
Neural network dropout,What is Neural Network Dropout? Explained!,Dropout Mechanism in Deep Learning: Simplified,1
LLMs,How LLMs Will Transform Your Career in 2025,The Future is Now: What LLMs Can Do Today,0
How to measure fat tailed distributions,5 Key Methods for Taming Fat Tailed Distributions,How to Accurately Measure Fat Tailed Distributions,1
How I become a data scientist (my journey to data science from Physics),My Journey from Physics to Data Science,Overcoming Challenges: My Data Science Journey,0
RAG,7 Key Benefits of RAG Systems Explained,Unlock the Power of RAG with These 5 Steps,1
causal inference,The Power of Causal Inference Explained,Causal Inference: From Basics to Advanced,1
Transformers (ML),Transformers vs RNNs: What's the Difference?,Build Your Own Transformer Model (Step-by-Step),1
Statistics for data scientists,How Statistics Predicts the Future | Data Science,Boost Your Data Science Skills with These Stats,1
Expectation values,Master Expectation Values: A Step-by-Step Guide,Unveiling the Secrets of Expectation Values Today,0
RL with AI feedback,How AI Improves My RL Workflow,AI-Powered RL: Level Up Your Skills,1
LLM evals,How LLMs Stack Up: My Rigorous Evaluation Process,Beyond the Surface: Deep LLM Evaluation Techniques,0
AI agents,AI Agents 101: How to Boost Your Workflow,Master AI Agents: Automate Your Life and Work,1
Fine-tuning FLUX.1 on images of me,5 Steps to Fine-Tuning FLUX.1 Like a Pro,My FLUX.1 Fine-Tuning Journey in 15 Minutes,0
Time series forecasting techniques,Time Series Forecasting Made Easy: 4 Key Techniques,Accurate Time Series Forecasting: A Step-by-Step Guide,0
Gradient descent,Gradient Descent Intuition & Math Simplified,Speed Up Machine Learning with Gradient Descent,0
Fine-tuning text embedding models,Fine-Tuning Text Embeddings: The Ultimate Guide,How to Boost Text Embeddings in Just 30 Minutes,0
Synthetic data generation with LLMs,How LLMs Are Transforming Synthetic Data Creation,Master Synthetic Data Generation with LLMs,1
decision tree ensembles,Build Stronger Models with These Decision Tree Techniques,The Power of Decision Tree Ensembles Explained,0
data pipelines for ML projects,How to Automate Your ML Data Pipeline,Streamline Your ML Workflow with Data Pipelines,0
"Deploying ML solutions with FastAPI, Docker, and AWS","FastAPI, Docker, AWS: Deploy ML Models Like a Pro","Speed Up ML Deployment: FastAPI, Docker, AWS - Step-by-Step",0
Habituation in causal inference,How Habituation Impacts Causal Analysis,The Role of Habituation in Accurate Causal Inference,0
topological data analysis,Unveiling Patterns: Topological Data Analysis 101,Revolutionizing Data Analysis with Topology,0
the Mapper algorithm,Mapper Algorithm: The Power Behind Data Analysis,Unleash the Power of Mapper Algorithm for Better Insights,0
Building an AI app in 4 days,4-Day AI App Challenge: From Idea to Launch,AI App in 4 Days: My Fast Track to Success,0
LLM alignment,7 Key Steps for LLM Alignment Success,Aligning LLMs with Human Values: A Guide,1
Building data pipelines with Python and GitHub actions,Build Data Pipelines Effortlessly with Python & GitHub Actions,Automate Data Pipelines Using Python & GitHub Actions,1
Transformers (ML),How Transformers Revolutionize NLP in 5 Minutes,The 3 Secrets to Mastering Transformers for ML,0
Fine-tuning LLMs on human feedback,5 Steps to Fine-Tune LLMs Like a Pro,Maximize LLMs with These Human Feedback Techniques,1
"P-Values. definition, examples, and misconceptions",5 Key Points About P-Values You Need to Know,"P-Values Decoded: Definitions, Examples, and Common Mistakes",1
How to handle imbalanced data in ML,5 Tricks to Handle Imbalanced Data Like a Pro,Imbalanced Data? Here’s How to Balance the Scales,0
How to detect fat tailed distributions,5 Ways to Spot Fat Tailed Distributions Fast,How to Identify Fat Tailed Distributions in 5 Minutes,0
7 ways to make money as a data entrepreneur.,How I Made $50K+ as a Data Biz Owner,Data Entrepreneur Income Boosters Revealed,0
AI engineer vs ML engineer,AI Engineer vs ML Engineer: Career Paths Compared,The AI Engineer vs ML Engineer Debate: Who Should You Be?,0
Building a resume optimizer with AI,AI-Powered Resume Optimizer: From Idea to Code,Step-by-Step: Build Your Own Resume Optimizer with AI,1
"Naive Bayes, Naive Bayes filter",Understanding Naive Bayes: The Simplest Yet Most Effective Classifier,Naive Bayes Simplified: A Data Scientist's Perspective,0
LLM alignment,How LLMs Can Align with Your Values,The Future of LLM Alignment: What You Should Expect,0
Hierarchical clustering,5 Steps to Master Hierarchical Clustering,Build Your Own Hierarchical Clustering Model in 15 Minutes,1
Fine-tuning LLMs to think (advanced reasoning),5 Advanced Techniques for LLM Fine-Tuning,Advanced LLM Fine-Tuning: Techniques Unveiled,0
"Deploying ML solutions with FastAPI, Docker, and AWS","The Ultimate Guide to ML Deployment with FastAPI, Docker, and AWS","Deploy ML with Ease: FastAPI, Docker, AWS - Full Walkthrough",0
Practical use case with decision trees,5 Key Steps to Build a Decision Tree Model,Build a Decision Tree in Minutes: Practical Example,1
Surrogate models,Build Surrogate Models in 10 Minutes: A Quick Guide,The Surrogate Model Trick That Doubles Your Prediction Speed,0
RL with AI feedback,5 RL Tricks AI Will Love,Get AI Feedback Faster with These RL Tips,1
Building an LLM from scratch,From Scratch: How I Built an LLM in 5 Days,LLM from Scratch: My Journey and Lessons Learned,1
principal component analysis,How PCA Can Transform Your Data Analysis,PCA Explained: A Beginner's Guide,1
Variational autoencoders,5 Key Concepts of Variational Autoencoders Simplified,Variational Autoencoders 101: From Basics to Advanced,1
causal inference,The Power of Causal Inference Explained,Why Causal Inference Matters in Data Science,1
causal inference,Master Causal Inference for Data Science,Causal Inference: From Basics to Advanced,1
Self-organizing map,How Self-Organizing Maps Can Revolutionize Data Analysis,Unsupervised Learning Made Easy: Self-Organizing Maps,1
reinforcement learning with human feedback (RLHF),5 Key Steps in RLHF for Better AI Models,Master RLHF: The Ultimate Guide for 2024,1
Building data pipelines with Python and GitHub actions,Build Data Pipelines Effortlessly with Python & GitHub Actions,Streamline Your Workflow with Python & GitHub Actions,1
LLM evals,My Secret Method for LLM Evaluation Success,Beyond the Surface: Deep LLM Evaluation Techniques,1
5 biases every data scientist should know (and how to avoid them),5 Common Biases Data Scientists Fall Into (And How to Avoid Them),Know These 5 Biases to Be a Better Data Scientist,1
Building a resume optimizer with AI,How I Built a Resume Optimizer Using AI (Code Tutorial),AI Resume Optimizer: The Full Code Tutorial,0
Fuzzy decision trees,Master Fuzzy Decision Trees in Just 10 Minutes,Fuzzy Decision Trees: When Precise Isn't Enough,1
FFT,5 Key Points of FFT Explained Simply,FFT Made Easy: A Beginner's Guide,1
What is entropy?,The Simple Truth About Entropy,Entropy: The Basics You Need to Know,1
Fine-tuning LLMs for computer use,5 Steps to Fine-Tune LLMs Like a Pro,Fine-Tuning LLMs: A Comprehensive Guide,1
Self-organizing map,Build Your Own Self-Organizing Map in 15 Minutes,The Power of Self-Organizing Maps in Dimensionality Reduction,1
Transformers (ML),5 Key Transformers Concepts You Need to Know,How Transformers Revolutionize NLP in 5 Minutes,1
multimodal AI,Unlocking Multimodal AI: A Beginner's Guide,The Power of Multimodal AI in Real-World Applications,1
"Distribution differences: KS-test (D statistic), KL divergence, Wasserstein. Jensen-Shannon divergence",Wasserstein & Jensen-Shannon: Mastering Distribution Comparisons,"Distribution Differences Explained: KS-test, KL, & More",1
RL with AI feedback,Get AI Feedback Faster with These RL Tips,AI-Powered RL: Level Up Your Skills,1
Gini value vs gini coefficient vs Gini impurity,"3 Key Concepts: Gini Value, Coefficient, & Impurity Explained","Gini Value, Coefficient, & Impurity: What’s the Difference?",1
causal discovery,Unlock Causal Discovery in Just 5 Minutes!,Master Causal Discovery with These 3 Simple Steps,0
How to detect fat tailed distributions,5 Ways to Spot Fat Tailed Distributions Fast,Understanding Fat Tailed Distributions Like a Pro,1
Data science project management,7 Steps to Manage Data Science Projects Like a Pro,How I Organize Data Science Projects for Maximum Efficiency,1
reinforcement learning with human feedback (RLHF),RLHF in 15 Minutes: Boost Your AI Skills,Master RLHF: The Ultimate Guide for 2024,0
5 biases every data scientist should know (and how to avoid them),5 Common Biases Data Scientists Fall Into (And How to Avoid Them),5 Sneaky Biases Every Data Scientist Must Watch Out For,1
causal discovery,Causal Discovery Made Easy: A Beginner’s Guide,Master Causal Discovery with These 3 Simple Steps,0
model pruning,Reduce Model Size & Boost Performance with Pruning,Model Pruning 101: A Step-by-Step Guide,0
"Probability, likelihood, odds, chance, odds ratio","5 Key Concepts: Probability, Likelihood, Odds, and More!","Odds, Probability, and Likelihood: A Beginner’s Guide",1
Silhouette plots,How Silhouette Plots Can Boost Your Data Analysis,Master Silhouette Plots for Clustering Analysis,1
Fuzzy decision trees,Master Fuzzy Decision Trees in Just 10 Minutes,How Fuzzy Decision Trees Simplify Complex Choices,0
direct policy optimization (DPO),5 Key Steps in Direct Policy Optimization (DPO),Maximize Efficiency with Direct Policy Optimization,0
decision tree ensembles,Master Decision Tree Ensembles in Just 10 Minutes,How Decision Tree Ensembles Can Boost Your Predictions,1
AI agents,Meet Your New AI Agents: Transforming Daily Tasks,Master AI Agents: Automate Your Life and Work,1
Generative adversarial networks (GANs),How GANs Work: The Ultimate Guide,GANs 101: From Basics to Breakthroughs,0
causal effects with regression,Understanding Causal Effects with Regression,How Regression Reveals Causal Effects,0
RAG,7 Key Benefits of RAG Systems Explained,How RAG is Revolutionizing Information Retrieval,1
AI for business,How AI Can Boost Your Business Efficiency,AI for Business: Real-World Examples Explained,1
LLM alignment,Aligning LLMs with Human Values: A Guide,The Future of LLM Alignment: What You Should Expect,0
Hyperparameter optimization,5 Key Hyperparameter Optimization Techniques Explained,How to Boost Model Performance with Hyperparameter Tuning,0
Synthetic data generation with LLMs,Generate Synthetic Data Like a Pro with LLMs,LLMs for Synthetic Data: 4 Key Techniques Explained,1
Building data pipelines with Python and GitHub actions,Build Data Pipelines Effortlessly with Python & GitHub Actions,Master Data Pipelines: Python & GitHub Actions Guide,0
Intro independent component analysis,Independent Component Analysis: The Basics Explained,Breakdown: Independent Component Analysis for Beginners,0
persistent homology,Simplifying Persistent Homology for Beginners,How Persistent Homology Can Transform Your Data Analysis,0
RAG,7 Key Benefits of RAG Systems Explained,Build Your Own RAG System in 30 Minutes,1
LLM alignment,7 Key Steps for LLM Alignment Success,LLM Alignment: What You Need to Know,1
fine-tuning LLMs,How I Fine-Tuned an LLM for Real-World Applications,Boost Your LLM Skills with These Fine-Tuning Techniques,0
How to think like a data scientist,Master Data Science Thinking in 15 Minutes,How to Develop a Data Scientist Mindset,1
Hyperparameter optimization,5 Key Hyperparameter Optimization Techniques Explained,Master Hyperparameter Optimization in Just 10 Minutes,0
"ROC, AUC. Generalizing to decision trees and other classifiers","Understanding ROC, AUC: Beyond Linear Classifiers","ROC, AUC Simplified: Decision Trees and Beyond",1
Variational autoencoders,How Variational Autoencoders Can Revolutionize Your Projects,Master Variational Autoencoders in Just 5 Minutes!,1
Variational autoencoders,5 Key Concepts of Variational Autoencoders Simplified,Master Variational Autoencoders in Just 5 Minutes!,1
reinforcement learning with human feedback (RLHF),How RLHF Transforms AI: A Beginner's Guide,RLHF in 15 Minutes: Boost Your AI Skills,0
Genetic algorithm,5 Key Concepts of Genetic Algorithms Simplified,Genetic Algorithms: The Ultimate Optimization Tool,1
AI agents,Unleash AI Agents: The Ultimate Productivity Hack,AI Agents 101: How to Boost Your Workflow,1
principal component analysis,Principal Component Analysis Simplified,PCA Explained: A Beginner's Guide,1
How to handle missing data,Missing Data? 3 Easy Techniques You Need to Know,The Ultimate Guide to Dealing with Missing Data,1
text embedding models,Text Embedding Models Explained in 5 Minutes,Text Embedding Models: From Theory to Practice,0
5 AI project ideas,AI Projects for Beginners: 5 Ideas,5 AI Projects That Make You Look Smart,1
AI for business,Transform Your Business with AI: Step-by-Step Guide,AI in Business: 3 Common Mistakes to Avoid,1
Interviewing 10 upwork millionaires,How These Upwork Millionaires Made $1M+,Top Insights from 10 Upwork Millionaires,0
SHAP values,5 Key SHAP Values You Need to Know,SHAP Values Explained: A Beginner's Guide,1
Fine-tuning LLMs with QLoRA,5 Steps to Fine-Tune LLMs with QLoRA,QLoRA for LLMs: What You Need to Know,1
AI engineer vs ML engineer,AI Engineer vs ML Engineer: Who Wins?,The AI Engineer vs ML Engineer Debate: Who Should You Be?,0
RL with AI feedback,5 RL Tricks AI Will Love,How AI Improves My RL Workflow,1
Expectation values,The Surprising Power of Expectation Values Explained,Unveiling the Secrets of Expectation Values Today,0
Building an LLM from scratch,Build Your Own LLM: The Step-by-Step Guide,LLM from Scratch: My Journey and Lessons Learned,0
"ROC, AUC. Generalizing to decision trees and other classifiers","Understanding ROC, AUC: Beyond Linear Classifiers","ROC, AUC Explained: Your Guide to Decision Trees",1
Gaussian process regression,Gaussian Process Regression Simplified,Gaussian Processes: A Beginner's Guide,1
topological data analysis,Top 5 Applications of Topological Data Analysis,Unveiling Patterns: Topological Data Analysis 101,0
Data science project management,The Ultimate Guide to Data Science Project Management,Streamline Your Data Science Projects with These Tips,0
RL with AI feedback,How AI Improves My RL Workflow,Master RL with AI Guidance: 5 Key Steps,0
Time series forecasting techniques,5 Essential Time Series Forecasting Techniques,Accurate Time Series Forecasting: A Step-by-Step Guide,0
model pruning,How Model Pruning Can Cut Your Training Time in Half,Model Pruning 101: A Step-by-Step Guide,1
How I become a data scientist (my journey to data science from Physics),How I Switched to Data Science (My Story),My 5-Year Leap from Physics to Data Science,0
7 ways to make money as a data entrepreneur.,7 Data Entrepreneur Money Hacks!,Turn Data Skills into Cash: 7 Pro Tips,1
causal effects with regression,Mastering Causal Effects Through Regression,Unveiling Causal Effects with Regression Techniques,1
Building data pipelines with Python and GitHub actions,Streamline Your Workflow with Python & GitHub Actions,Master Data Pipelines: Python & GitHub Actions Guide,0
Fuzzy decision trees,Fuzzy Logic: The Future of Decision Trees,Master Fuzzy Decision Trees in Just 10 Minutes,1
How to measure fat tailed distributions,5 Key Methods for Taming Fat Tailed Distributions,The Ultimate Guide to Measuring Fat Tails,1
fat tailed distribtions,Understanding Fat-Tailed Distributions in 5 Minutes,How Fat-Tailed Distributions Affect Your Investments,0
Practical use case with decision trees,5 Key Steps to Build a Decision Tree Model,How Decision Trees Can Revolutionize Your Predictions,0
What is entropy?,Entropy Explained in 5 Minutes,Understanding Entropy Like a Pro,0
FFT,Master FFT in Just 10 Minutes!,Unlock FFT: The Fastest Signal Processing Technique,1
Synthetic data generation with LLMs,5 Ways LLMs Can Revolutionize Synthetic Data,Master Synthetic Data Generation with LLMs,1
2 plots for exploratory data analysis,Master 2 Plots for Better EDA,Boost Your EDA Skills with 2 Key Plots,1
"Fractals, self similarity, and crinkliness",How Fractals Explain the World’s Most Complex Patterns,The Math Behind Fractals: Crinkliness and Beyond,0
"Probability, likelihood, odds, chance, odds ratio","5 Key Concepts: Probability, Likelihood, Odds, and More!","The Essential Guide to Probability, Likelihood, and Odds",1
causal inference,Master Causal Inference for Data Science,Why Causal Inference Matters in Data Science,1
Key lessons from interviews with top upwork data science freelancers,7 Secrets Top Upwork Data Scientists Swear By,Insider Secrets: Upwork Data Science Success Stories,0
Fine-tuning LLMs on human feedback,Maximize LLMs with These Human Feedback Techniques,Inside LLM Fine-Tuning: My Pro Tips,0
Fine-tuning multimodal embedding models,Fine-Tuning Multimodal Embeddings: A Step-by-Step Guide,Mastering Multimodal Embeddings: Tips and Tricks,0
topological data analysis,Simplifying Complex Data with Topological Analysis,How Topological Data Analysis Shapes AI,0
Surrogate models,"Surrogate Models Simplified: Fast Predictions, Easy Implementation",Surrogate Models vs. Full Models: When to Use Each,0
Intro independent component analysis,Independent Component Analysis: The Basics Explained,Independent Component Analysis: What It Is and Why It Matters,0
KMeans,5 Key Steps to Mastering KMeans Clustering,Boost Your Data Skills with KMeans Clustering,1
"ROC, AUC. Generalizing to decision trees and other classifiers","Understanding ROC, AUC: Beyond Linear Classifiers","Beyond Linear Models: ROC, AUC & Decision Trees",0
fat tailed distribtions,How Fat-Tailed Distributions Affect Your Investments,Fat-Tailed Distributions: What You Need to Know,1
model distillation,Simplify Your Model with Distillation Techniques,How Model Distillation Can Save Your Time & Resources,1
LLM evals,LLM Evaluations 101: What You Need to Know,My Secret Method for LLM Evaluation Success,0
Data science project management,How I Organize Data Science Projects for Maximum Efficiency,Streamline Your Data Science Projects with These Tips,1
5 AI project ideas,Build These AI Projects in Under an Hour,From Idea to Reality: 5 AI Projects,0
AI agents,AI Agents 101: How to Boost Your Workflow,Meet Your New AI Agents: Transforming Daily Tasks,1
Variational autoencoders,"Encode, Decode, Learn: A Guide to Variational Autoencoders",Variational Autoencoders 101: From Basics to Advanced,1
data pipelines for ML projects,Build Efficient ML Data Pipelines in 3 Easy Steps,Streamline Your ML Workflow with Data Pipelines,0
"Fractals, self similarity, and crinkliness",The Beauty of Fractals: Exploring Infinite Crinkliness,How Fractals Explain the World’s Most Complex Patterns,1
Practical use case with decision trees,How Decision Trees Can Revolutionize Your Predictions,Decision Trees for Beginners: A Practical Use Case,1
Time series forecasting techniques,Master Time Series Forecasting in 30 Minutes,Accurate Time Series Forecasting: A Step-by-Step Guide,0
Interviewing 10 upwork millionaires,10 Upwork Millionaires Reveal Their Secrets!,Inside the Minds of Upwork Millionaires,0
Practical use case with decision trees,How Decision Trees Can Revolutionize Your Predictions,Build a Decision Tree in Minutes: Practical Example,1
Gradient descent,5 Key Steps in Gradient Descent Explained,How Gradient Descent Works in 5 Minutes,1
Python essentials for data science,10 Python Skills Every Data Scientist Needs,Boost Your Data Science Skills with These 7 Python Tips,0
wavelet transform,Introduction to Wavelet Transform: The Power Behind Signal Processing,Quick Guide to Wavelet Transform for Beginners,1
LLM Fine-tuning FAQ,10 FAQs About LLM Fine-tuning Solved,The Most Asked Questions About LLM Fine-tuning Explained,0
What is entropy?,The Simple Truth About Entropy,Understanding Entropy Like a Pro,0
fine-tuning LLMs,The Ultimate Guide to LLM Fine-Tuning in 2024,Fine-Tuning LLMs: From Beginner to Expert,0
5 AI project discovery questions,Discover AI Projects That Will Impress Employers,5 Must-Try AI Projects for Beginners,0
Customer segmentation with text embeddings,How Text Embeddings Simplify Customer Segmentation,Transform Customer Data with Text Embeddings,1
Hierarchical clustering,How Hierarchical Clustering Can Transform Your Data,Unleash the Power of Hierarchical Clustering Today!,0
"My $15,000 content creation strategy",From Zero to $15K: My Content Strategy Revealed,5 Steps to Doubling Your Content Revenue (Free eBook),0
Building a resume optimizer with AI,AI-Powered Resume Optimizer: From Idea to Code,AI Resume Optimizer: The Full Code Tutorial,1
Optimization,The Ultimate Guide to Optimization for Beginners,Maximize Efficiency: Optimization Strategies Explained,0
Regularization (ML),How Regularization Can Save Your Machine Learning Project,The Regularization Secret ML Pros Won't Tell You,0
multimodal RAG,How Multimodal RAG Will Revolutionize Information Retrieval,Why Multimodal RAG Is the Next Big Thing in AI,0
Gradient descent,How Gradient Descent Works in 5 Minutes,Master Gradient Descent: A Beginner's Guide,0
Gaussian mixture model,Introduction to Gaussian Mixture Models,Mastering Gaussian Mixture Models in 15 Minutes,0
Continual learning (ML),How to Stay Updated in ML: My 3-Step Plan,Continuous Learning in ML: What You Need to Know,0
causal inference,The Power of Causal Inference Explained,Master Causal Inference for Data Science,1
Synthetic data generation with LLMs,LLMs for Synthetic Data: 4 Key Techniques Explained,Master Synthetic Data Generation with LLMs,1
causal effects with regression,Regression Analysis for Causal Effects,Unveiling Causal Effects with Regression Techniques,0
Transformers (ML),5 Key Transformers Concepts You Need to Know,The 3 Secrets to Mastering Transformers for ML,0
Building an LLM from scratch,Build Your Own LLM: The Step-by-Step Guide,The Ultimate LLM Blueprint: Build One Yourself,0
model quantization,5 Ways Model Quantization Can Boost AI Performance,Reduce Model Size & Speed Up Inference with Quantization,1
Data science project management,How I Organize Data Science Projects for Maximum Efficiency,The Ultimate Guide to Data Science Project Management,0
"Naive Bayes, Naive Bayes filter",Naive Bayes Filter Explained: A Beginner's Guide,How Naive Bayes Works: A Step-by-Step Breakdown,1
LLM Fine-tuning FAQ,The Most Asked Questions About LLM Fine-tuning Explained,LLM Fine-tuning Demystified: 6 FAQs You Need to Know,0
What is an AI project manager?,How AI Project Managers Drive Success,The Ultimate Guide to AI Project Management,1
